ID,label
41988,34
41989,3
41990,64
41991,87
41992,17
41993,17
41994,1
41995,79
41996,4
41997,99
41998,82
41999,11
42000,99
42001,15
42002,73
42003,18
42004,7
42005,25
42006,35
42007,95
42008,28
42009,0
42010,12
42011,95
42012,33
42013,1
42014,60
42015,55
42016,70
42017,97
42018,81
42019,6
42020,46
42021,65
42022,47
42023,89
42024,74
42025,35
42026,64
42027,27
42028,97
42029,33
42030,3
42031,4
42032,65
42033,10
42034,41
42035,56
42036,45
42037,7
42038,5
42039,60
42040,83
42041,42
42042,0
42043,27
42044,21
42045,66
42046,36
42047,54
42048,45
42049,96
42050,86
42051,34
42052,75
42053,94
42054,85
42055,39
42056,68
42057,63
42058,67
42059,71
42060,8
42061,67
42062,70
42063,23
42064,42
42065,74
42066,75
42067,80
42068,27
42069,65
42070,6
42071,32
42072,90
42073,98
42074,96
42075,24
42076,86
42077,44
42078,75
42079,62
42080,95
42081,12
42082,21
42083,42
42084,76
42085,35
42086,36
42087,38
42088,52
42089,52
42090,43
42091,50
42092,45
42093,99
42094,32
42095,23
42096,38
42097,92
42098,43
42099,80
42100,13
42101,66
42102,89
42103,40
42104,37
42105,42
42106,12
42107,21
42108,20
42109,15
42110,22
42111,28
42112,99
42113,20
42114,41
42115,8
42116,59
42117,39
42118,9
42119,97
42120,20
42121,84
42122,98
42123,27
42124,81
42125,6
42126,10
42127,57
42128,1
42129,52
42130,79
42131,67
42132,8
42133,61
42134,93
42135,17
42136,58
42137,20
42138,98
42139,30
42140,96
42141,83
42142,66
42143,70
42144,96
42145,81
42146,49
42147,31
42148,62
42149,88
42150,83
42151,53
42152,96
42153,38
42154,28
42155,28
42156,2
42157,85
42158,62
42159,31
42160,16
42161,7
42162,16
42163,71
42164,74
42165,1
42166,20
42167,22
42168,86
42169,86
42170,38
42171,45
42172,47
42173,56
42174,53
42175,8
42176,69
42177,95
42178,62
42179,5
42180,67
42181,49
42182,56
42183,31
42184,39
42185,49
42186,91
42187,54
42188,92
42189,50
42190,97
42191,1
42192,66
42193,11
42194,50
42195,71
42196,33
42197,35
42198,18
42199,2
42200,41
42201,73
42202,32
42203,62
42204,9
42205,21
42206,34
42207,33
42208,96
42209,99
42210,87
42211,93
42212,48
42213,34
42214,5
42215,68
42216,69
42217,26
42218,2
42219,80
42220,33
42221,93
42222,88
42223,36
42224,78
42225,75
42226,80
42227,1
42228,53
42229,35
42230,86
42231,62
42232,2
42233,20
42234,46
42235,97
42236,71
42237,43
42238,33
42239,77
42240,96
42241,94
42242,63
42243,40
42244,73
42245,9
42246,80
42247,48
42248,92
42249,66
42250,28
42251,21
42252,0
42253,45
42254,11
42255,99
42256,63
42257,55
42258,12
42259,41
42260,23
42261,56
42262,13
42263,10
42264,69
42265,9
42266,11
42267,13
42268,31
42269,85
42270,30
42271,75
42272,1
42273,91
42274,66
42275,63
42276,27
42277,9
42278,52
42279,2
42280,11
42281,22
42282,33
42283,80
42284,13
42285,39
42286,66
42287,39
42288,11
42289,99
42290,58
42291,78
42292,86
42293,6
42294,62
42295,18
42296,57
42297,26
42298,86
42299,36
42300,4
42301,41
42302,26
42303,28
42304,23
42305,83
42306,36
42307,55
42308,55
42309,6
42310,54
42311,90
42312,34
42313,20
42314,30
42315,39
42316,38
42317,57
42318,47
42319,93
42320,59
42321,80
42322,40
42323,7
42324,32
42325,65
42326,60
42327,97
42328,34
42329,27
42330,3
42331,67
42332,84
42333,56
42334,23
42335,33
42336,71
42337,34
42338,14
42339,51
42340,30
42341,26
42342,38
42343,39
42344,23
42345,42
42346,91
42347,97
42348,20
42349,79
42350,11
42351,4
42352,94
42353,69
42354,59
42355,63
42356,64
42357,17
42358,3
42359,51
42360,32
42361,64
42362,97
42363,58
42364,50
42365,64
42366,67
42367,65
42368,15
42369,70
42370,16
42371,47
42372,65
42373,11
42374,16
42375,55
42376,50
42377,99
42378,46
42379,42
42380,26
42381,40
42382,56
42383,36
42384,80
42385,18
42386,39
42387,72
42388,8
42389,61
42390,91
42391,28
42392,2
42393,20
42394,24
42395,41
42396,30
42397,79
42398,39
42399,48
42400,13
42401,12
42402,99
42403,71
42404,66
42405,11
42406,2
42407,69
42408,64
42409,57
42410,59
42411,53
42412,76
42413,79
42414,71
42415,92
42416,84
42417,91
42418,63
42419,82
42420,91
42421,98
42422,42
42423,86
42424,23
42425,44
42426,48
42427,72
42428,11
42429,55
42430,43
42431,21
42432,39
42433,60
42434,86
42435,71
42436,34
42437,93
42438,64
42439,98
42440,65
42441,15
42442,62
42443,21
42444,68
42445,80
42446,30
42447,20
42448,14
42449,61
42450,75
42451,87
42452,64
42453,95
42454,40
42455,47
42456,56
42457,61
42458,55
42459,68
42460,23
42461,84
42462,24
42463,10
42464,89
42465,21
42466,72
42467,1
42468,38
42469,78
42470,55
42471,76
42472,22
42473,4
42474,47
42475,29
42476,47
42477,19
42478,54
42479,78
42480,71
42481,17
42482,80
42483,81
42484,56
42485,78
42486,80
42487,8
42488,81
42489,57
42490,35
42491,29
42492,54
42493,38
42494,81
42495,16
42496,20
42497,48
42498,75
42499,17
42500,7
42501,32
42502,74
42503,77
42504,34
42505,83
42506,22
42507,34
42508,82
42509,27
42510,68
42511,90
42512,31
42513,42
42514,61
42515,60
42516,34
42517,38
42518,53
42519,69
42520,12
42521,98
42522,80
42523,19
42524,28
42525,52
42526,6
42527,32
42528,85
42529,68
42530,69
42531,79
42532,56
42533,32
42534,13
42535,84
42536,57
42537,72
42538,87
42539,48
42540,52
42541,29
42542,98
42543,65
42544,48
42545,49
42546,53
42547,18
42548,11
42549,64
42550,4
42551,47
42552,91
42553,57
42554,97
42555,27
42556,28
42557,72
42558,28
42559,86
42560,44
42561,83
42562,1
42563,62
42564,57
42565,24
42566,35
42567,82
42568,91
42569,76
42570,10
42571,60
42572,79
42573,0
42574,23
42575,26
42576,63
42577,3
42578,46
42579,11
42580,33
42581,62
42582,44
42583,11
42584,22
42585,31
42586,53
42587,79
42588,79
42589,21
42590,75
42591,27
42592,39
42593,90
42594,73
42595,57
42596,90
42597,90
42598,61
42599,84
42600,94
42601,37
42602,41
42603,51
42604,86
42605,13
42606,62
42607,69
42608,69
42609,15
42610,67
42611,99
42612,45
42613,84
42614,26
42615,14
42616,2
42617,57
42618,22
42619,54
42620,38
42621,19
42622,82
42623,79
42624,29
42625,37
42626,62
42627,78
42628,6
42629,80
42630,20
42631,56
42632,83
42633,85
42634,25
42635,29
42636,18
42637,49
42638,54
42639,52
42640,24
42641,65
42642,36
42643,28
42644,43
42645,65
42646,11
42647,53
42648,90
42649,49
42650,24
42651,86
42652,3
42653,41
42654,89
42655,72
42656,25
42657,24
42658,79
42659,59
42660,29
42661,71
42662,88
42663,34
42664,13
42665,79
42666,58
42667,71
42668,4
42669,7
42670,10
42671,21
42672,72
42673,58
42674,63
42675,82
42676,88
42677,79
42678,39
42679,92
42680,87
42681,11
42682,76
42683,30
42684,13
42685,72
42686,72
42687,45
42688,12
42689,10
42690,55
42691,29
42692,78
42693,92
42694,25
42695,86
42696,65
42697,83
42698,38
42699,65
42700,47
42701,50
42702,79
42703,16
42704,0
42705,64
42706,82
42707,97
42708,11
42709,31
42710,7
42711,28
42712,0
42713,25
42714,27
42715,95
42716,73
42717,66
42718,43
42719,64
42720,56
42721,9
42722,34
42723,66
42724,88
42725,59
42726,27
42727,29
42728,52
42729,38
42730,16
42731,82
42732,11
42733,92
42734,24
42735,48
42736,82
42737,42
42738,22
42739,95
42740,28
42741,94
42742,24
42743,62
42744,68
42745,20
42746,13
42747,62
42748,6
42749,49
42750,4
42751,57
42752,8
42753,68
42754,96
42755,38
42756,78
42757,30
42758,51
42759,20
42760,90
42761,80
42762,90
42763,51
42764,9
42765,38
42766,56
42767,12
42768,16
42769,7
42770,88
42771,83
42772,76
42773,21
42774,78
42775,78
42776,55
42777,10
42778,19
42779,2
42780,82
42781,63
42782,78
42783,59
42784,46
42785,44
42786,79
42787,98
42788,98
42789,90
42790,45
42791,34
42792,17
42793,32
42794,35
42795,75
42796,80
42797,51
42798,63
42799,85
42800,62
42801,2
42802,79
42803,64
42804,30
42805,63
42806,69
42807,0
42808,36
42809,91
42810,84
42811,29
42812,84
42813,10
42814,79
42815,57
42816,64
42817,7
42818,66
42819,9
42820,64
42821,43
42822,55
42823,31
42824,16
42825,14
42826,43
42827,88
42828,25
42829,1
42830,77
42831,51
42832,0
42833,45
42834,26
42835,27
42836,48
42837,77
42838,0
42839,40
42840,56
42841,51
42842,63
42843,11
42844,0
42845,8
42846,92
42847,24
42848,32
42849,97
42850,78
42851,89
42852,49
42853,44
42854,98
42855,13
42856,85
42857,77
42858,88
42859,81
42860,49
42861,19
42862,72
42863,12
42864,21
42865,97
42866,32
42867,58
42868,57
42869,61
42870,31
42871,65
42872,62
42873,44
42874,41
42875,13
42876,70
42877,8
42878,53
42879,42
42880,35
42881,34
42882,45
42883,33
42884,75
42885,70
42886,59
42887,33
42888,10
42889,9
42890,71
42891,53
42892,87
42893,26
42894,19
42895,27
42896,14
42897,99
42898,11
42899,11
42900,45
42901,52
42902,20
42903,5
42904,31
42905,29
42906,36
42907,56
42908,83
42909,41
42910,10
42911,17
42912,4
42913,59
42914,99
42915,15
42916,22
42917,23
42918,99
42919,6
42920,69
42921,69
42922,23
42923,39
42924,85
42925,56
42926,96
42927,78
42928,1
42929,73
42930,95
42931,22
42932,65
42933,58
42934,16
42935,2
42936,24
42937,0
42938,76
42939,85
42940,65
42941,18
42942,34
42943,34
42944,9
42945,41
42946,60
42947,4
42948,65
42949,96
42950,87
42951,65
42952,26
42953,88
42954,41
42955,42
42956,72
42957,10
42958,68
42959,9
42960,8
42961,98
42962,77
42963,7
42964,5
42965,4
42966,62
42967,39
42968,2
42969,17
42970,18
42971,76
42972,8
42973,90
42974,32
42975,46
42976,70
42977,69
42978,51
42979,22
42980,14
42981,17
42982,26
42983,84
42984,88
42985,60
42986,75
42987,87
42988,25
42989,52
42990,46
42991,23
42992,0
42993,67
42994,47
42995,19
42996,17
42997,51
42998,35
42999,10
43000,8
43001,82
43002,39
43003,26
43004,92
43005,59
43006,33
43007,63
43008,9
43009,80
43010,63
43011,80
43012,44
43013,50
43014,89
43015,89
43016,57
43017,6
43018,57
43019,1
43020,35
43021,82
43022,80
43023,20
43024,87
43025,8
43026,40
43027,23
43028,35
43029,64
43030,23
43031,33
43032,32
43033,78
43034,17
43035,72
43036,59
43037,93
43038,24
43039,7
43040,67
43041,94
43042,95
43043,91
43044,6
43045,14
43046,59
43047,20
43048,26
43049,67
43050,84
43051,64
43052,9
43053,20
43054,75
43055,84
43056,50
43057,59
43058,75
43059,45
43060,67
43061,20
43062,3
43063,90
43064,82
43065,52
43066,39
43067,83
43068,89
43069,20
43070,91
43071,16
43072,13
43073,11
43074,98
43075,67
43076,84
43077,7
43078,70
43079,68
43080,38
43081,29
43082,93
43083,99
43084,64
43085,85
43086,53
43087,0
43088,85
43089,83
43090,88
43091,33
43092,78
43093,76
43094,38
43095,65
43096,20
43097,45
43098,7
43099,75
43100,78
43101,60
43102,83
43103,99
43104,86
43105,81
43106,21
43107,52
43108,60
43109,7
43110,78
43111,59
43112,14
43113,39
43114,70
43115,94
43116,42
43117,37
43118,7
43119,78
43120,23
43121,38
43122,36
43123,13
43124,79
43125,27
43126,70
43127,73
43128,71
43129,0
43130,84
43131,54
43132,6
43133,96
43134,45
43135,95
43136,17
43137,20
43138,34
43139,52
43140,42
43141,45
43142,85
43143,24
43144,46
43145,83
43146,19
43147,2
43148,57
43149,1
43150,72
43151,10
43152,88
43153,58
43154,53
43155,20
43156,5
43157,30
43158,98
43159,53
43160,28
43161,93
43162,78
43163,46
43164,23
43165,81
43166,62
43167,22
43168,4
43169,65
43170,72
43171,48
43172,64
43173,43
43174,80
43175,32
43176,1
43177,18
43178,21
43179,49
43180,76
43181,73
43182,56
43183,1
43184,43
43185,1
43186,59
43187,25
43188,81
43189,98
43190,37
43191,14
43192,85
43193,14
43194,70
43195,4
43196,91
43197,33
43198,15
43199,42
43200,35
43201,17
43202,40
43203,61
43204,53
43205,97
43206,18
43207,91
43208,84
43209,7
43210,66
43211,23
43212,97
43213,92
43214,39
43215,1
43216,19
43217,26
43218,55
43219,45
43220,65
43221,83
43222,57
43223,67
43224,56
43225,14
43226,53
43227,50
43228,88
43229,20
43230,2
43231,98
43232,57
43233,13
43234,36
43235,80
43236,51
43237,18
43238,36
43239,15
43240,14
43241,63
43242,63
43243,59
43244,5
43245,42
43246,5
43247,1
43248,33
43249,70
43250,62
43251,6
43252,44
43253,77
43254,6
43255,47
43256,30
43257,74
43258,79
43259,40
43260,76
43261,31
43262,42
43263,66
43264,46
43265,72
43266,79
43267,67
43268,87
43269,43
43270,5
43271,43
43272,33
43273,6
43274,92
43275,57
43276,49
43277,34
43278,20
43279,49
43280,90
43281,86
43282,63
43283,21
43284,62
43285,20
43286,86
43287,99
43288,29
43289,32
43290,41
43291,21
43292,97
43293,68
43294,93
43295,16
43296,7
43297,83
43298,29
43299,48
43300,75
43301,50
43302,80
43303,65
43304,49
43305,44
43306,7
43307,29
43308,70
43309,47
43310,43
43311,91
43312,18
43313,26
43314,62
43315,89
43316,94
43317,72
43318,22
43319,38
43320,41
43321,29
43322,49
43323,6
43324,26
43325,75
43326,70
43327,74
43328,93
43329,87
43330,68
43331,10
43332,6
43333,11
43334,57
43335,41
43336,48
43337,88
43338,66
43339,19
43340,82
43341,20
43342,23
43343,82
43344,42
43345,52
43346,45
43347,57
43348,98
43349,47
43350,80
43351,84
43352,97
43353,77
43354,93
43355,93
43356,82
43357,37
43358,21
43359,5
43360,6
43361,18
43362,39
43363,67
43364,42
43365,48
43366,11
43367,99
43368,87
43369,46
43370,55
43371,26
43372,14
43373,41
43374,4
43375,79
43376,64
43377,37
43378,99
43379,67
43380,42
43381,27
43382,8
43383,55
43384,73
43385,63
43386,35
43387,51
